cart_id,user_id,product_id,product_title,quantity,line_total,id,title,price
1,33,168,Charger SXT RWD,3,98999.97,168,Charger SXT RWD,32999.99
1,33,78,Apple MacBook Pro 14 Inch Space Grey,2,3999.98,78,Apple MacBook Pro 14 Inch Space Grey,1999.99
1,33,183,Green Oval Earring,5,124.95,183,Green Oval Earring,24.99
1,33,100,Apple Airpods,5,649.95,100,Apple Airpods,129.99
2,142,144,Cricket Helmet,4,179.96,144,Cricket Helmet,44.99
2,142,124,iPhone X,4,3599.96,124,iPhone X,899.99
2,142,148,Golf Ball,4,39.96,148,Golf Ball,9.99
2,142,122,iPhone 6,3,899.97,122,iPhone 6,299.99
2,142,110,Selfie Lamp with iPhone,5,74.95,110,Selfie Lamp with iPhone,14.99
3,108,98,Rolex Submariner Watch,1,13999.99,98,Rolex Submariner Watch,13999.99
3,108,125,Oppo A57,5,1249.95,125,Oppo A57,249.99
3,108,55,Egg Slicer,2,13.98,55,Egg Slicer,6.99
3,108,62,Ice Cube Tray,2,11.98,62,Ice Cube Tray,5.99
3,108,132,Samsung Galaxy S8,3,1499.97,132,Samsung Galaxy S8,499.99
4,87,187,Golden Shoes Woman,5,249.95,187,Golden Shoes Woman,49.99
4,87,40,Strawberry,5,19.950000000000003,40,Strawberry,3.99
4,87,156,Green and Black Glasses,5,174.95000000000002,156,Green and Black Glasses,34.99
4,87,62,Ice Cube Tray,2,11.98,62,Ice Cube Tray,5.99
5,134,108,iPhone 12 Silicone Case with MagSafe Plum,2,59.98,108,iPhone 12 Silicone Case with MagSafe Plum,29.99
5,134,138,Baseball Ball,5,44.95,138,Baseball Ball,8.99
5,134,157,Party Glasses,2,39.98,157,Party Glasses,19.99
5,134,8,Dior J'adore,3,269.97,8,Dior J'adore,89.99
5,134,80,Huawei Matebook X Pro,5,6999.95,80,Huawei Matebook X Pro,1399.99
5,134,28,Ice Cream,3,16.47,28,Ice Cream,5.49
6,150,172,Blue Women's Handbag,5,249.95,172,Blue Women's Handbag,49.99
6,150,112,TV Studio Camera Pedestal,3,1499.97,112,TV Studio Camera Pedestal,499.99
6,150,97,Rolex Datejust,3,32999.97,97,Rolex Datejust,10999.99
6,150,128,Realme C35,3,449.97,128,Realme C35,149.99
7,86,167,300 Touring,5,144999.95,167,300 Touring,28999.99
7,86,111,Selfie Stick Monopod,4,51.96,111,Selfie Stick Monopod,12.99
